plant,phase,toal_water_production,day,value
Al-Jubail,MSF-Phase2,Desal10,2022-05-16,0
Al-Jubail,MSF-Phase2,Desal10,2022-05-17,0
Al-Jubail,MSF-Phase2,Desal10,2022-05-18,15521
Al-Jubail,MSF-Phase2,Desal10,2022-05-19,27881
Al-Jubail,MSF-Phase2,Desal10,2022-05-20,27765
Al-Jubail,MSF-Phase2,Desal10,2022-05-21,27900
Al-Jubail,MSF-Phase2,Desal10,2022-05-22,27826
Al-Jubail,MSF-Phase2,Desal10,2022-05-23,27961
Al-Jubail,MSF-Phase2,Desal10,2022-05-24,28030
Al-Jubail,MSF-Phase2,Desal10,2022-05-25,28084
Al-Jubail,MSF-Phase2,Desal10,2022-05-26,28014
Al-Jubail,MSF-Phase2,Desal10,2022-05-27,27952
Al-Jubail,MSF-Phase2,Desal10,2022-05-28,27971
Al-Jubail,MSF-Phase2,Desal10,2022-05-29,23162
Al-Jubail,MSF-Phase2,Desal10,2022-05-30,0
Al-Jubail,MSF-Phase2,Desal10,2022-05-31,20127
Al-Jubail,MSF-Phase2,Desal11,2022-05-01,28651
Al-Jubail,MSF-Phase2,Desal11,2022-05-02,28473
Al-Jubail,MSF-Phase2,Desal11,2022-05-03,28436
Al-Jubail,MSF-Phase2,Desal11,2022-05-04,28334
Al-Jubail,MSF-Phase2,Desal11,2022-05-05,28180
Al-Jubail,MSF-Phase2,Desal11,2022-05-06,28301
Al-Jubail,MSF-Phase2,Desal11,2022-05-07,28274
Al-Jubail,MSF-Phase2,Desal11,2022-05-08,28481
Al-Jubail,MSF-Phase2,Desal11,2022-05-09,28552
Al-Jubail,MSF-Phase2,Desal11,2022-05-10,28565
Al-Jubail,MSF-Phase2,Desal11,2022-05-11,28725
Al-Jubail,MSF-Phase2,Desal11,2022-05-12,28946
Al-Jubail,MSF-Phase2,Desal11,2022-05-13,29081
Al-Jubail,MSF-Phase2,Desal11,2022-05-14,29155
Al-Jubail,MSF-Phase2,Desal11,2022-05-15,23699
Al-Jubail,MSF-Phase2,Desal11,2022-05-16,0
Al-Jubail,MSF-Phase2,Desal11,2022-05-17,0
Al-Jubail,MSF-Phase2,Desal11,2022-05-18,15459
Al-Jubail,MSF-Phase2,Desal11,2022-05-19,28928
Al-Jubail,MSF-Phase2,Desal11,2022-05-20,28878
Al-Jubail,MSF-Phase2,Desal11,2022-05-21,28768
Al-Jubail,MSF-Phase2,Desal11,2022-05-22,28853
Al-Jubail,MSF-Phase2,Desal11,2022-05-23,28969
Al-Jubail,MSF-Phase2,Desal11,2022-05-24,28905
Al-Jubail,MSF-Phase2,Desal11,2022-05-25,28872
Al-Jubail,MSF-Phase2,Desal11,2022-05-26,28832
Al-Jubail,MSF-Phase2,Desal11,2022-05-27,28742
Al-Jubail,MSF-Phase2,Desal11,2022-05-28,28680
Al-Jubail,MSF-Phase2,Desal11,2022-05-29,23800
Al-Jubail,MSF-Phase2,Desal11,2022-05-30,0
Al-Jubail,MSF-Phase2,Desal11,2022-05-31,23583
Al-Jubail,MSF-Phase2,Desal12,2022-05-01,26871
Al-Jubail,MSF-Phase2,Desal12,2022-05-02,27060
Al-Jubail,MSF-Phase2,Desal12,2022-05-03,27088
Al-Jubail,MSF-Phase2,Desal12,2022-05-04,26977
Al-Jubail,MSF-Phase2,Desal12,2022-05-05,26802
Al-Jubail,MSF-Phase2,Desal12,2022-05-06,26767
Al-Jubail,MSF-Phase2,Desal12,2022-05-07,26689
Al-Jubail,MSF-Phase2,Desal12,2022-05-08,27078
Al-Jubail,MSF-Phase2,Desal12,2022-05-09,27156
Al-Jubail,MSF-Phase2,Desal12,2022-05-10,27135
Al-Jubail,MSF-Phase2,Desal12,2022-05-11,27087
Al-Jubail,MSF-Phase2,Desal12,2022-05-12,27044
Al-Jubail,MSF-Phase2,Desal12,2022-05-13,27307
Al-Jubail,MSF-Phase2,Desal12,2022-05-14,27490
Al-Jubail,MSF-Phase2,Desal12,2022-05-15,21469
Al-Jubail,MSF-Phase2,Desal12,2022-05-16,0
Al-Jubail,MSF-Phase2,Desal12,2022-05-17,0
Al-Jubail,MSF-Phase2,Desal12,2022-05-18,10439
Al-Jubail,MSF-Phase2,Desal12,2022-05-19,27667
Al-Jubail,MSF-Phase2,Desal12,2022-05-20,27437
Al-Jubail,MSF-Phase2,Desal12,2022-05-21,27402
Al-Jubail,MSF-Phase2,Desal12,2022-05-22,27613
Al-Jubail,MSF-Phase2,Desal12,2022-05-23,27864
Al-Jubail,MSF-Phase2,Desal12,2022-05-24,27897
Al-Jubail,MSF-Phase2,Desal12,2022-05-25,27849
Al-Jubail,MSF-Phase2,Desal12,2022-05-26,27683
Al-Jubail,MSF-Phase2,Desal12,2022-05-27,27333
Al-Jubail,MSF-Phase2,Desal12,2022-05-28,27023
Al-Jubail,MSF-Phase2,Desal12,2022-05-29,21977
Al-Jubail,MSF-Phase2,Desal12,2022-05-30,0
Al-Jubail,MSF-Phase2,Desal12,2022-05-31,18153
Al-Jubail,MSF-Phase2,Desal13,2022-05-01,27266
Al-Jubail,MSF-Phase2,Desal13,2022-05-02,27262
Al-Jubail,MSF-Phase2,Desal13,2022-05-03,27246
Al-Jubail,MSF-Phase2,Desal13,2022-05-04,27381
Al-Jubail,MSF-Phase2,Desal13,2022-05-05,26194
Al-Jubail,MSF-Phase2,Desal13,2022-05-06,26974
Al-Jubail,MSF-Phase2,Desal13,2022-05-07,27153
Al-Jubail,MSF-Phase2,Desal13,2022-05-08,27420
Al-Jubail,MSF-Phase2,Desal13,2022-05-09,27538
Al-Jubail,MSF-Phase2,Desal13,2022-05-10,27365
Al-Jubail,MSF-Phase2,Desal13,2022-05-11,27609
Al-Jubail,MSF-Phase2,Desal13,2022-05-12,27283
Al-Jubail,MSF-Phase2,Desal13,2022-05-13,26939
Al-Jubail,MSF-Phase2,Desal13,2022-05-14,27384
Al-Jubail,MSF-Phase2,Desal13,2022-05-15,27218
Al-Jubail,MSF-Phase2,Desal13,2022-05-16,21579
Al-Jubail,MSF-Phase2,Desal13,2022-05-17,2609
Al-Jubail,MSF-Phase2,Desal13,2022-05-18,24650
Al-Jubail,MSF-Phase2,Desal13,2022-05-19,25383
Al-Jubail,MSF-Phase2,Desal13,2022-05-20,25575
Al-Jubail,MSF-Phase2,Desal13,2022-05-21,27257
Al-Jubail,MSF-Phase2,Desal13,2022-05-22,27211
